rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,32,147,21.8
2,تهران,22,147,15.0
3,شنبه,14,147,9.5
4,خارک,6,147,4.1
5,پیشین,5,147,3.4
6,مشهد,5,147,3.4
7,اصفهان,5,147,3.4
8,ترک,5,147,3.4
9,قدس,3,147,2.0
10,بندرعباس,3,147,2.0
11,اهل,3,147,2.0
12,آستانه,2,147,1.4
13,میناب,2,147,1.4
14,لامرد,2,147,1.4
15,محمدی,2,147,1.4
16,گشت,2,147,1.4
17,لاهیجان,2,147,1.4
18,پیرانشهر,2,147,1.4
19,کرمانشاه,2,147,1.4
20,سنندج,2,147,1.4
21,قاضی,2,147,1.4
22,یزد,2,147,1.4
23,رشت,2,147,1.4
24,بن,2,147,1.4
25,قشم,2,147,1.4
26,زاهدان,1,147,0.7
27,تبریز,1,147,0.7
28,ماهان,1,147,0.7
29,بهمن,1,147,0.7
30,اراک,1,147,0.7
31,ساوه,1,147,0.7
32,مهاباد,1,147,0.7
33,اشنویه,1,147,0.7
34,میاندوآب,1,147,0.7
35,بانه,1,147,0.7
36,قروه,1,147,0.7
37,سقز,1,147,0.7
38,پاوه,1,147,0.7
39,مریوان,1,147,0.7
40,ارومیه,1,147,0.7
41,بوکان,1,147,0.7
42,دیواندره,1,147,0.7
43,روانسر,1,147,0.7
44,کامیاران,1,147,0.7
45,بیجار,1,147,0.7
46,سمنان,1,147,0.7
47,قزوین,1,147,0.7
48,ایلام,1,147,0.7
49,اردبیل,1,147,0.7
50,بهار,1,147,0.7
51,نیشابور,1,147,0.7
52,شال,1,147,0.7
53,فومن,1,147,0.7
54,چهارباغ,1,147,0.7
55,جلفا,1,147,0.7
56,شاندیز,1,147,0.7
57,نور,1,147,0.7
58,رفسنجان,1,147,0.7
59,مهر,1,147,0.7
60,بازرگان,1,147,0.7
61,سراوان,1,147,0.7
62,سبزوار,1,147,0.7
63,بافت,1,147,0.7
64,بندرکنگان,1,147,0.7
65,خمین,1,147,0.7
66,راسک,1,147,0.7
67,دستگرد,1,147,0.7
68,مرودشت,1,147,0.7
69,کرج,1,147,0.7
70,فردیس,1,147,0.7
71,همدان,1,147,0.7
72,شوش,1,147,0.7
