rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,12,44,27.3
2,بندرعباس,8,44,18.2
3,قشم,6,44,13.6
4,تهران,5,44,11.4
5,سیریک,3,44,6.8
6,خمین,3,44,6.8
7,کرج,2,44,4.5
8,چابهار,2,44,4.5
9,کنارک,2,44,4.5
10,میناب,1,44,2.3
11,قدمگاه,1,44,2.3
12,اهل,1,44,2.3
13,لامرد,1,44,2.3
14,کلمه,1,44,2.3
15,ایلام,1,44,2.3
16,مشهد,1,44,2.3
17,ملارد,1,44,2.3
18,فردیس,1,44,2.3
19,کرمانشاه,1,44,2.3
20,پردیس,1,44,2.3
21,یزد,1,44,2.3
22,ازنا,1,44,2.3
23,الیگودرز,1,44,2.3
24,عسلویه,1,44,2.3
25,جیرفت,1,44,2.3
26,درگهان,1,44,2.3
27,گلوگاه,1,44,2.3
28,شنبه,1,44,2.3
29,پیشین,1,44,2.3
30,مهر,1,44,2.3
