rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,49,195,25.1
2,تهران,29,195,14.9
3,بندرعباس,10,195,5.1
4,سیریک,8,195,4.1
5,اصفهان,7,195,3.6
6,قشم,7,195,3.6
7,خارک,6,195,3.1
8,شنبه,6,195,3.1
9,ترک,5,195,2.6
10,خمین,5,195,2.6
11,چابهار,4,195,2.1
12,اهل,4,195,2.1
13,کرج,4,195,2.1
14,پیشین,4,195,2.1
15,کرمانشاه,4,195,2.1
16,اهرم,3,195,1.5
17,کنارک,3,195,1.5
18,پردیس,3,195,1.5
19,یزد,2,195,1.0
20,فردیس,2,195,1.0
21,قدس,2,195,1.0
22,کرمان,2,195,1.0
23,میناب,2,195,1.0
24,عسلویه,2,195,1.0
25,جیرفت,2,195,1.0
26,اهواز,2,195,1.0
27,بن,2,195,1.0
28,مهر,2,195,1.0
29,مشهد,2,195,1.0
30,پیرانشهر,1,195,0.5
31,بندرکنگان,1,195,0.5
32,راسک,1,195,0.5
33,دستگرد,1,195,0.5
34,مرودشت,1,195,0.5
35,محمدی,1,195,0.5
36,همدان,1,195,0.5
37,سنندج,1,195,0.5
38,لاهیجان,1,195,0.5
39,شوش,1,195,0.5
40,بازرگان,1,195,0.5
41,گرمدره,1,195,0.5
42,آغاجاری,1,195,0.5
43,سوق,1,195,0.5
44,سهند,1,195,0.5
45,صاحب,1,195,0.5
46,لامرد,1,195,0.5
47,قدمگاه,1,195,0.5
48,کلمه,1,195,0.5
49,ایلام,1,195,0.5
50,ملارد,1,195,0.5
51,ازنا,1,195,0.5
52,الیگودرز,1,195,0.5
53,درگهان,1,195,0.5
54,گلوگاه,1,195,0.5
55,آستانه,1,195,0.5
56,دماوند,1,195,0.5
57,لواسان,1,195,0.5
58,بومهن,1,195,0.5
59,رودهن,1,195,0.5
60,گهواره,1,195,0.5
61,کنگاور,1,195,0.5
62,بهمن,1,195,0.5
63,هرات,1,195,0.5
64,بجنورد,1,195,0.5
65,زنگنه,1,195,0.5
66,ملایر,1,195,0.5
67,کهریزک,1,195,0.5
68,اندیشه,1,195,0.5
